player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Javier Hernández,17.0,mx MEX,FW,29-079,90,2,0,0,0,3,2,1.2,1.2,2,0,West Ham,2,3,False,False,Southampton - West Ham,334,122,4,6,9,11,2,5,0.1,0.1,2,1,3,3,0,22,17,5,1,0,0,5,1,0,0,0,0,1,1,1,0,1,1,1,0,1,2,15,13,2,2,0,13,93,16,1,0,0,0,0,18,2,0,0,0,1,4,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
Marko Arnautović,7.0,at AUT,LW,28-122,32,0,0,0,0,2,1,0.2,0.2,3,0,West Ham,2,3,False,False,Southampton - West Ham,167,61,5,7,3,5,1,1,0.1,0.0,1,1,0,0,0,13,12,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,10,2,0,0,13,81,15,0,0,0,0,1,14,3,0,1,0,2,2,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
Michail Antonio,30.0,jm JAM,RW,27-144,67,0,0,0,0,4,3,0.2,0.2,4,1,West Ham,2,3,False,False,Southampton - West Ham,188,75,5,9,3,5,2,2,0.2,0.2,2,2,1,0,2,17,15,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,9,15,4,4,4,15,131,6,0,2,0,0,4,21,4,0,0,0,1,1,0,0,0,0,2,6,3,,,,,,,,,,,,,,,,7.925
Diafra Sakho,15.0,sn SEN,FW,27-238,23,0,0,0,0,2,1,0.1,0.1,1,1,West Ham,2,3,False,False,Southampton - West Ham,14,3,1,1,0,2,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,3,2,0,0,4,13,7,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,2,4,3,,,,,,,,,,,,,,,,6.25
André Ayew,20.0,gh GHA,AM,27-245,67,0,0,0,0,1,0,0.1,0.1,2,0,West Ham,2,3,False,False,Southampton - West Ham,213,46,6,7,7,10,0,1,0.0,0.0,0,2,0,0,1,20,19,1,1,0,0,0,0,0,2,2,1,1,0,1,0,1,1,0,0,3,6,14,7,1,0,0,10,91,27,1,0,0,1,1,14,2,0,0,0,2,3,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,
Edimilson Fernandes,31.0,ch SUI,RW,21-126,23,0,0,0,0,0,0,0.0,0.0,1,0,West Ham,2,3,False,False,Southampton - West Ham,94,0,3,3,0,1,1,2,0.0,0.0,0,0,0,0,0,7,7,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,2,10,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,6.04
Mark Noble,16.0,eng ENG,DM,30-103,90,0,0,0,0,1,0,0.0,0.0,4,0,West Ham,2,3,False,False,Southampton - West Ham,952,242,7,10,20,22,10,14,0.1,0.1,2,2,0,0,4,46,38,8,7,0,2,3,0,1,2,1,1,1,0,0,0,0,1,0,0,1,10,35,7,0,1,1,21,131,42,0,1,0,1,2,33,1,0,0,0,0,2,0,0,0,0,5,0,1,,,,,,,,,,,,,,,,5.8
Declan Rice,41.0,eng ENG,DM,18-217,75,0,0,0,0,0,0,0.0,0.0,1,0,West Ham,2,3,False,False,Southampton - West Ham,460,46,7,8,14,19,2,3,0.0,0.0,0,1,0,0,1,30,29,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,7,27,4,0,0,0,13,77,9,0,0,0,2,0,15,1,0,0,0,0,0,0,0,0,0,4,2,1,,,,,,,,,,,,,,,,6.25
Pedro Obiang,14.0,gq EQG,DM,25-145,15,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,2,3,False,False,Southampton - West Ham,51,22,0,0,2,2,0,1,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,0,1,5,2,0,0,1,1,2,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,6.48
Aaron Cresswell,3.0,eng ENG,LB,27-247,90,0,0,0,0,0,0,0.0,0.0,4,0,West Ham,2,3,False,False,Southampton - West Ham,578,227,8,9,7,9,8,13,0.2,0.2,4,4,1,1,3,32,24,8,4,0,1,6,4,0,1,0,0,0,0,1,0,1,0,5,0,4,13,18,9,0,0,0,15,46,10,0,1,0,0,0,19,2,0,0,0,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.65
Angelo Ogbonna,21.0,it ITA,CB,29-088,90,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,2,3,False,False,Southampton - West Ham,587,244,5,6,15,18,4,7,0.0,0.0,0,2,0,0,1,31,29,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,10,0,8,22,19,3,0,0,0,11,53,26,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,2,1,,,,,,,,,,,,,,,,5.654999999999999
José Fonte,4.0,pt POR,CB,33-240,90,0,0,0,0,3,1,0.1,0.1,0,0,West Ham,2,3,False,False,Southampton - West Ham,323,145,1,2,10,13,3,6,0.0,0.0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,11,0,8,23,11,3,3,0,0,14,66,37,0,0,0,0,0,19,0,0,0,0,2,0,0,0,1,0,2,5,1,,,,,,,,,,,,,,,,
Pablo Zabaleta,5.0,ar ARG,RB,32-215,90,0,0,0,0,0,0,0.0,0.0,5,0,West Ham,2,3,False,False,Southampton - West Ham,526,293,5,9,15,18,4,6,0.0,0.0,1,2,1,1,5,34,29,5,0,0,0,1,5,0,2,2,0,1,1,1,0,1,4,8,0,6,21,24,5,0,0,0,12,54,13,0,0,0,0,0,14,1,1,0,0,2,2,0,0,1,0,6,2,1,,,,,,,,,,,,,,,,5.8149999999999995
Joe Hart,25.0,eng ENG,GK,30-122,90,0,0,0,0,0,0,0.0,0.0,0,0,West Ham,2,3,False,False,Southampton - West Ham,820,801,0,0,0,0,13,37,0.0,0.0,0,2,0,0,0,37,20,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,1,0,0,0,0,16,141,93,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,3,0,0,5.0,3.0,2.0,2.5,13.0,37.0,25.0,0.0,58.2,12.0,68.4,22.0,0.0,0.0,12.4,5.484999999999999
Jamie Vardy,9.0,eng ENG,FW,30-220,89,0,0,0,0,1,0,0.2,0.2,1,0,Leicester,2,0,True,False,Leicester - Brighton,210,37,8,9,3,3,1,2,0.7,0.4,1,0,1,1,1,19,18,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,6,19,5,2,1,13,177,98,5,3,0,3,2,20,8,0,0,0,0,1,0,0,0,0,1,0,6,,,,,,,,,,,,,,,,7.029999999999999
Demarai Gray,7.0,jm JAM,FW,21-052,1,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,2,0,True,False,Leicester - Brighton,9,9,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.04
Shinji Okazaki,20.0,jp JPN,FW,31-125,75,1,0,0,0,2,1,1.2,1.2,5,0,Leicester,2,0,True,False,Leicester - Brighton,130,15,11,13,1,2,0,0,0.2,0.2,1,0,0,0,1,17,16,1,0,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0,0,1,11,11,4,1,0,12,45,23,2,1,2,1,0,14,3,0,0,0,1,1,1,0,0,0,3,0,3,,,,,,,,,,,,,,,,7.52
Islam Slimani,19.0,dz ALG,FW,29-062,15,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,2,0,True,False,Leicester - Brighton,47,13,2,2,1,2,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,6.01
Marc Albrighton,11.0,eng ENG,LM,27-274,90,0,0,0,0,3,0,0.1,0.1,3,0,Leicester,2,0,True,False,Leicester - Brighton,292,90,13,15,6,15,1,6,0.2,0.2,2,3,0,0,1,37,31,6,2,0,0,7,0,4,2,2,0,0,0,0,0,0,0,0,0,0,2,25,17,1,0,0,23,103,54,1,0,1,2,0,30,4,0,0,0,0,2,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,6.925
Matty James,22.0,eng ENG,CM,26-028,90,0,0,0,0,2,0,0.1,0.1,1,0,Leicester,2,0,True,False,Leicester - Brighton,568,122,22,26,11,13,3,4,0.1,0.0,1,0,0,0,1,44,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,8,38,5,0,1,0,32,165,33,1,0,0,1,0,29,1,0,0,0,1,1,0,0,0,0,11,1,0,,,,,,,,,,,,,,,,6.835
Wilfred Ndidi,25.0,ng NGA,CM,20-246,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,2,0,True,False,Leicester - Brighton,669,173,11,16,17,28,6,7,0.0,0.0,0,3,0,0,6,55,55,0,0,1,0,1,0,0,2,2,0,1,1,2,0,2,1,1,0,1,6,54,7,1,2,2,30,237,100,2,3,0,2,1,36,2,0,0,0,2,0,0,0,0,0,7,5,0,,,,,,,,,,,,,,,,7.66
Riyad Mahrez,26.0,dz ALG,RM,26-179,90,0,1,0,0,4,2,0.2,0.2,7,3,Leicester,2,0,True,False,Leicester - Brighton,647,197,19,21,15,18,4,8,0.2,0.2,2,4,1,0,10,49,43,6,2,0,0,6,2,2,1,0,1,1,0,0,0,0,2,0,0,1,4,30,30,4,5,2,44,324,105,1,3,2,4,0,45,7,0,0,0,0,2,0,0,0,0,8,0,1,,,,,,,,,,,,,,,,8.07
Christian Fuchs,28.0,at AUT,LB,31-134,90,0,0,0,0,0,0,0.0,0.0,2,0,Leicester,2,0,True,False,Leicester - Brighton,708,228,28,31,17,19,3,6,0.0,0.0,0,1,1,0,5,61,54,7,1,0,0,2,6,0,1,1,1,2,1,1,0,1,0,3,0,3,15,42,11,1,1,1,31,130,73,1,2,0,0,0,46,4,0,0,0,1,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,6.63
Harry Maguire,15.0,eng ENG,CB,24-167,90,1,0,0,0,1,1,0.2,0.2,2,0,Leicester,2,0,True,False,Leicester - Brighton,1166,430,17,21,31,34,6,8,0.0,0.0,0,7,0,0,7,64,63,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7,32,44,2,2,1,1,46,376,218,1,1,0,1,1,51,0,0,0,0,0,2,0,0,0,0,8,3,2,,,,,,,,,,,,,,,,8.135
Wes Morgan,5.0,jm JAM,CB,33-210,90,0,0,0,0,1,0,0.1,0.1,1,0,Leicester,2,0,True,False,Leicester - Brighton,603,172,12,13,16,18,3,5,0.0,0.0,1,0,0,0,0,38,37,1,1,0,0,0,0,0,2,2,0,0,0,3,2,1,0,3,0,2,27,19,2,1,0,0,28,195,61,0,0,0,0,1,34,1,1,0,0,2,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,7.015000000000001
Danny Simpson,2.0,eng ENG,RB,30-227,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,2,0,True,False,Leicester - Brighton,599,269,17,17,14,22,4,7,0.0,0.0,0,2,0,0,1,47,38,9,0,0,0,1,9,0,1,1,0,0,0,0,0,0,2,6,0,3,28,21,9,0,1,1,24,137,60,2,1,0,1,0,28,1,0,0,0,1,0,0,0,0,0,4,2,0,,,,,,,,,,,,,,,,6.67
Kasper Schmeichel,1.0,dk DEN,GK,30-287,90,0,0,0,0,0,0,0.0,0.0,0,0,Leicester,2,0,True,False,Leicester - Brighton,795,607,0,0,8,8,13,26,0.0,0.0,0,0,0,0,0,34,25,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,1,0,0,0,0,18,126,102,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,2.0,0.4,8.0,21.0,29.0,6.0,43.8,5.0,67.8,13.0,1.0,1.0,19.0,6.470000000000001
Glenn Murray,17.0,eng ENG,FW,33-328,65,0,0,0,0,0,0,0.0,0.0,1,0,Brighton,0,2,False,False,Leicester - Brighton,137,15,10,10,1,3,0,0,0.1,0.0,1,0,0,0,1,14,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,0,0,11,24,15,0,0,0,5,1,18,5,0,0,0,1,2,1,0,0,0,0,0,4,,,,,,,,,,,,,,,,5.8
Tomer Hemed,10.0,il ISR,FW,30-109,25,0,0,0,0,1,1,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,42,0,1,2,2,2,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,1,4,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,1,2,,,,,,,,,,,,,,,,6.125
Pascal Groß,13.0,de GER,FW,26-065,61,0,0,0,0,0,0,0.0,0.0,1,0,Brighton,0,2,False,False,Leicester - Brighton,202,38,12,13,3,8,0,2,0.0,0.0,0,1,0,0,2,26,23,3,2,0,0,3,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,15,17,0,0,0,18,96,33,1,0,0,3,3,26,12,0,0,0,0,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,
Anthony Knockaert,11.0,fr FRA,RM,25-272,29,0,0,0,0,0,0,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,234,122,4,5,7,9,1,3,0.0,0.0,0,2,1,0,6,17,15,2,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,15,7,0,3,2,11,105,52,1,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,1,2,2,,,,,,,,,,,,,,,,6.295
Jamie Murphy,15.0,sct SCO,LM,27-356,90,0,0,0,0,1,0,0.1,0.1,2,0,Brighton,0,2,False,False,Leicester - Brighton,508,77,10,11,16,17,2,2,0.0,0.0,1,2,0,0,4,35,34,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,10,18,15,2,1,1,29,276,164,6,3,1,2,1,30,10,0,0,0,0,4,0,0,0,0,5,0,1,,,,,,,,,,,,,,,,6.605
Davy Pröpper,24.0,nl NED,CM,25-351,90,0,0,0,0,1,0,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,1316,283,15,22,24,26,15,16,0.0,0.0,0,9,0,0,11,65,64,1,1,0,3,0,0,0,3,1,0,2,2,2,0,2,1,1,0,5,15,55,4,0,0,0,40,246,68,0,1,1,1,0,52,1,0,0,0,1,0,0,0,0,0,10,3,0,,,,,,,,,,,,,,,,
Dale Stephens,6.0,eng ENG,CM,28-068,90,0,0,0,0,0,0,0.0,0.0,1,0,Brighton,0,2,False,False,Leicester - Brighton,1377,344,12,15,33,36,15,20,0.0,0.0,0,8,1,0,8,73,73,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,2,0,3,17,60,4,1,3,1,36,226,83,1,1,0,0,0,62,1,0,0,0,2,0,0,0,0,0,6,0,1,,,,,,,,,,,,,,,,6.029999999999999
Solly March,20.0,eng ENG,RM,23-030,90,0,0,0,0,2,1,0.1,0.1,1,0,Brighton,0,2,False,False,Leicester - Brighton,591,145,20,22,15,18,2,2,0.0,0.2,0,3,2,1,6,46,40,5,0,0,0,3,2,0,2,1,1,1,0,0,0,0,0,2,0,1,7,30,19,1,2,1,31,234,30,1,0,0,3,1,45,11,0,0,0,1,0,0,0,0,0,2,0,4,,,,,,,,,,,,,,,,6.24
Markus Suttner,29.0,at AUT,LB,30-125,90,0,0,0,0,0,0,0.0,0.0,1,0,Brighton,0,2,False,False,Leicester - Brighton,904,418,15,15,23,29,6,11,0.0,0.0,0,4,0,0,6,56,41,15,1,0,1,3,14,0,2,1,2,3,1,0,0,0,1,2,1,3,21,23,21,0,0,0,30,153,95,3,1,0,3,0,38,6,0,0,0,1,0,0,0,0,0,5,1,0,,,,,,,,,,,,,,,,5.359999999999999
Lewis Dunk,5.0,eng ENG,CB,25-271,90,0,0,0,0,0,0,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,1031,320,6,7,24,26,12,19,0.0,0.0,0,1,0,0,2,55,54,0,0,0,3,0,0,0,1,0,0,0,0,2,2,0,1,4,0,5,47,17,1,1,0,0,24,163,94,1,0,0,2,0,38,0,0,0,0,1,0,0,0,0,0,5,3,0,,,,,,,,,,,,,,,,6.195
Shane Duffy,22.0,ie IRL,CB,25-230,90,0,0,0,0,0,0,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,1184,471,9,9,31,33,13,20,0.0,0.0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,2,2,2,2,0,2,2,0,1,8,0,11,58,21,0,0,0,0,35,241,79,1,0,0,1,1,50,0,0,0,0,1,1,0,0,0,0,6,5,1,,,,,,,,,,,,,,,,6.484999999999999
Bruno,2.0,es ESP,RB,36-322,90,0,0,0,0,0,0,0.0,0.0,1,0,Brighton,0,2,False,False,Leicester - Brighton,1387,486,27,27,36,42,9,12,0.0,0.0,0,6,1,1,9,81,75,6,0,0,1,4,6,0,1,1,1,1,0,0,0,0,0,1,0,1,27,48,8,0,0,0,41,206,122,3,1,0,0,0,66,3,0,0,0,2,0,0,0,0,0,5,1,1,,,,,,,,,,,,,,,,6.045
Mathew Ryan,1.0,au AUS,GK,25-133,90,0,0,0,0,0,0,0.0,0.0,0,0,Brighton,0,2,False,False,Leicester - Brighton,884,644,1,1,13,13,12,25,0.0,0.0,0,0,0,0,0,39,28,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,37,42,0,0,0,0,0,19,116,76,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2.0,2.0,1.6,9.0,22.0,30.0,6.0,37.5,9.0,53.7,15.0,2.0,0.0,7.4,
Sam Vokes,9.0,wls WAL,FW,27-302,90,0,0,0,0,3,0,0.1,0.1,4,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,164,25,8,13,5,10,0,0,0.1,0.0,2,0,0,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,14,20,4,0,0,11,28,5,0,0,0,4,1,29,6,0,0,0,0,0,0,0,0,0,2,7,6,,,,,,,,,,,,,,,,5.775
Jeff Hendrick,13.0,ie IRL,FW,25-200,90,0,0,0,0,6,0,0.2,0.2,5,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,580,90,12,17,14,15,3,5,0.2,0.1,1,4,2,1,3,39,37,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,33,18,4,1,1,22,72,19,0,0,0,2,1,37,7,0,0,0,1,2,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,6.175
Robbie Brady,12.0,ie IRL,LM,25-217,77,0,0,0,0,2,0,0.2,0.2,3,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,462,109,20,23,6,8,4,12,0.4,0.2,2,2,1,1,3,46,41,5,0,0,1,7,1,4,1,1,0,0,0,0,0,0,0,0,0,0,3,24,25,1,2,2,26,145,68,3,2,1,1,3,39,7,0,0,0,1,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,5.805
Jonathan Walters,19.0,ie IRL,LW,33-333,13,0,0,0,0,1,0,0.2,0.2,0,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,15,0,1,3,0,0,0,0,0.0,0.0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,6,1,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.925
Steven Defour,16.0,be BEL,CM,29-126,90,0,0,0,0,1,0,0.0,0.0,6,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,1246,393,24,24,33,38,8,13,0.1,0.1,2,9,1,1,12,77,74,3,2,0,0,7,0,1,1,1,1,2,1,1,0,1,1,1,0,1,12,55,15,1,1,1,47,417,296,6,3,0,2,0,62,3,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,6.305
Jack Cork,4.0,eng ENG,CM,28-055,90,0,0,0,0,1,0,0.0,0.0,4,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,1058,313,21,25,23,26,9,13,0.0,0.0,1,7,1,0,11,66,65,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,8,54,11,0,2,2,36,216,115,3,4,0,0,3,47,0,0,0,0,1,1,0,0,0,0,4,0,2,,,,,,,,,,,,,,,,6.23
Jóhann Berg Guðmundsson,17.0,is ISL,RM,26-296,78,0,0,0,0,2,0,0.1,0.1,3,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,354,82,12,12,9,11,1,3,0.1,0.0,2,2,2,1,2,27,26,1,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,12,16,1,1,1,16,102,51,1,1,0,1,0,26,8,0,0,0,0,2,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,
Ashley Barnes,10.0,eng ENG,RW,27-293,12,0,0,0,0,1,0,0.1,0.1,0,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,31,16,1,3,1,1,0,0,0.0,0.0,0,0,1,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,1,3,52,34,1,1,0,0,0,4,2,1,0,0,2,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,5.515000000000001
Stephen Ward,23.0,ie IRL,LB,31-364,90,0,0,0,0,1,0,0.0,0.0,1,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,814,316,12,14,20,26,7,12,0.1,0.0,1,5,0,0,4,53,42,11,0,0,0,3,11,0,4,4,1,2,1,1,0,1,0,7,0,2,16,37,17,1,0,0,19,62,10,1,0,0,3,0,31,7,0,0,0,2,1,0,0,0,0,1,4,1,,,,,,,,,,,,,,,,5.995
Ben Mee,6.0,eng ENG,CB,27-332,90,0,0,0,0,1,0,0.3,0.3,2,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,1001,552,12,12,18,22,12,14,0.0,0.0,1,7,0,0,4,48,47,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,15,0,5,35,32,1,1,0,0,28,155,121,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,4,7,6,,,,,,,,,,,,,,,,7.165
James Tarkowski,5.0,eng ENG,CB,24-273,90,0,0,0,0,0,0,0.0,0.0,2,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,914,488,15,16,18,20,10,17,0.0,0.1,0,3,2,1,4,54,53,1,1,0,2,1,0,0,1,1,0,2,2,1,1,0,3,5,0,6,32,31,1,0,0,0,31,251,202,0,0,0,0,1,39,1,0,0,0,3,2,0,0,0,0,6,3,1,,,,,,,,,,,,,,,,6.42
Matthew Lowton,2.0,eng ENG,RB,28-071,90,0,0,0,0,1,0,0.0,0.0,5,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,834,225,15,18,24,30,3,8,0.0,0.0,0,9,1,1,8,58,49,9,0,0,0,7,9,0,1,1,0,1,1,0,0,0,0,3,1,1,13,34,16,0,1,1,24,100,74,0,1,0,0,0,37,9,0,0,0,1,3,0,0,0,0,3,1,0,,,,,,,,,,,,,,,,6.075
Tom Heaton,1.0,eng ENG,GK,31-126,90,0,0,0,0,0,0,0.0,0.0,1,0,Burnley,0,1,False,False,Burnley - West Bromwich Albion,677,518,1,1,11,11,9,21,0.0,0.0,0,2,0,0,0,33,16,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,3,0,0,0,0,10,79,55,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.4,5.0,17.0,24.0,6.0,40.1,9.0,50.3,12.0,1.0,0.0,4.0,5.92
Jay Rodriguez,19.0,eng ENG,FW,28-021,90,0,0,0,0,1,0,0.2,0.2,2,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,190,82,6,10,1,2,3,4,0.1,0.1,1,2,1,1,3,17,17,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,14,7,2,1,0,17,71,19,1,0,0,5,1,21,3,0,0,0,3,1,3,0,0,0,4,1,9,,,,,,,,,,,,,,,,5.555
James McClean,14.0,ie IRL,LM,28-119,62,0,0,0,0,1,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,97,0,6,7,1,1,0,0,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,1,0,0,2,2,2,0,2,1,1,0,0,4,9,7,1,1,1,10,58,17,1,1,1,2,1,11,2,0,0,0,2,0,0,0,0,0,3,0,1,,,,,,,,,,,,,,,,6.17
Hal Robson-Kanu,4.0,wls WAL,FW,28-090,20,1,0,0,0,2,1,0.2,0.2,2,2,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,13,0,1,2,0,0,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,2,4,2,2,2,6,29,25,1,0,1,0,0,5,0,0,1,0,2,2,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,6.82
Sam Field,28.0,eng ENG,CM,19-103,85,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,Burnley - West Bromwich Albion,141,56,4,9,2,6,1,2,0.0,0.0,0,2,0,0,2,17,17,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,1,5,18,2,1,0,0,4,10,3,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,,,,5.845000000000001
